ReviewID,PolicyID,ReviewerEmployeeID,ReviewerRole,ReviewDate,ReviewStatus,Comments
REV-00112,POL-0207,EMP-0044,Policy Analyst,2021-12-20,Approved,Update section 3.
REV-00113,POL-0062,,Policy Reviewer,2018-11-12,Approved,
REV-00114,POL-0209,EMP-0031,Compliance Analyst,2006-02-13,Approved,Formatting changes only.
 REV-00115 , POL-0144 ,EMP-0039,Policy Analyst,,Approved,Update section 3.
REV-00116,POL-0098, EMP-0033 ,Compliance Analyst,"Sep 15, 2023",Approved,Looks good.
REV-00117,POL-0279,EMP-0051,Policy Analyst,,Approved,Please verify citation.
REV-00118,POL-0137,EMP-0019,,2008-08-29,Approved,Update section 3.
REV-00119,POL-0300,EMP-0014,Department Supervisor,20-Jan-2023,Approved,
 REV-00120 ,POL-0272,EMP-0020,Department Supervisor,2023-09-27,Approved,Minor edits requested.
REV-00121,POL-0233,EMP-0021,Department Supervisor,2007-11-19,Approved,Minor edits requested.
REV-00122,POL-0075,EMP-0033,Compliance Analyst,2010-08-12,,Please verify citation.
REV-00123,POL-0244,EMP-0016,Department Supervisor,"Mar 28, 2013",Approved,Minor edits requested.
REV-00124,POL-0128,EMP-0051,Policy Analyst,2009-04-21,Approved,Please verify citation.
REV-00125,POL-0032,EMP-0019,Department Supervisor,22-Oct-2012,Approved,Formatting changes only.
REV-00126,POL-0182, EMP-0050 ,Policy Reviewer,"Jan 30, 2014",Approved,Please verify citation.
 REV-00127 , POL-0021 ,EMP-0043,Policy Reviewer,2004-09-08,Approved,Formatting changes only.
REV-00128,POL-0069,EMP-0048,Policy Reviewer,2008-01-23,Approved,Please verify citation.
REV-00129,POL-0086,EMP-0021,Department Supervisor,2007-06-01,Approved,Formatting changes only.
 REV-00130 ,POL-0295,EMP-0047,Policy Reviewer,2015-08-23,Approved,
REV-00131,POL-0255,EMP-0016, Department Supervisor ,2001-10-08,Approved,
REV-00132,POL-0236,EMP-0052,Senior Analyst,2012-05-15,Approved,Looks good.
REV-00133, POL-0183 ,EMP-0050,,03/09/2019,,Formatting changes only.
REV-00134,POL-0276,EMP-0042,Senior Analyst,2001-11-09,Approved,Formatting changes only.
REV-00135,POL-0219,EMP-0029,Compliance Analyst, 2024-12-20 ,Rejected,Formatting changes only.
REV-00136,POL-0114,EMP-0041,Policy Reviewer,01/18/2014, Approved ,Looks good.
REV-00137,POL-0134,EMP-0030,Compliance Analyst,2018-09-18,Approved,Update section 3.
REV-00138,POL-0236,EMP-0014,Department Supervisor,09-Oct-2003,Rejected,Looks good.
REV-00139,POL-0079,EMP-0037,Policy Reviewer,2020-03-20,Rejected,Update section 3.
REV-00140,POL-0236,EMP-0024,Department Supervisor,2021-05-01,Approved,Minor edits requested.
REV-00141,POL-0049,EMP-0031,Compliance Analyst,2006-12-10,,Formatting changes only.
REV-00142,POL-0118,EMP-0033,Compliance Analyst,2014-10-27,, Update section 3. 
REV-00143,POL-0031,EMP-0034,Compliance Analyst,13-May-2006,Approved,Please verify citation.
REV-00144,POL-0161,EMP-0031,Compliance Analyst,,Rejected, Looks good. 
REV-00145,POL-0217,EMP-0018,Department Supervisor,2021-06-03,Approved,Minor edits requested.
REV-00146,POL-0130,EMP-0026,Compliance Analyst,2020-08-31,Approved,Looks good.
REV-00147,POL-0110,EMP-0014,Department Supervisor,2004-11-03,Approved,Minor edits requested.
REV-00148,POL-0096,EMP-0050,Policy Reviewer,,,Update section 3.
REV-00149,POL-0083,EMP-0021,Department Supervisor,2011-08-20,Rejected,Minor edits requested.
REV-00150,POL-0079,EMP-0023,Department Supervisor,11-Jul-2014,Approved,Looks good.
REV-00151,POL-0148,EMP-0043,Policy Reviewer,2022-11-06,Approved,
REV-00152,POL-0096,EMP-0030, Compliance Analyst ,2022-11-14,Approved,Update section 3.
REV-00153,POL-0126,EMP-0016,Department Supervisor,2001-07-15,Approved,Update section 3.
REV-00154,POL-0030,EMP-0040, Senior Analyst ,2023-03-04,Approved,Looks good.
REV-00155,POL-0013,EMP-0048, Policy Reviewer ,2010-02-23,Rejected,Minor edits requested.
 REV-00156 ,POL-0214,EMP-0014,Department Supervisor,2002-09-06,Approved,Minor edits requested.
REV-00157, POL-0290 ,EMP-0049,,12-Sep-2022,Approved, Formatting changes only. 
REV-00158,POL-0270, EMP-0029 ,Compliance Analyst,2021-08-10, Approved ,Please verify citation.
REV-00159,POL-0061,EMP-0017,Department Supervisor,2000-11-11,Approved,Update section 3.
REV-00160,POL-0084,EMP-0027,Compliance Analyst,2006-07-04,Approved,Formatting changes only.
REV-00161,POL-0225,EMP-0036,,2016-11-26,Approved,Minor edits requested.
REV-00162,POL-0013,EMP-0036,Senior Analyst, 2002-07-12 ,Approved,
REV-00163,POL-0200,EMP-0034,Compliance Analyst,2009-03-25,Approved,Please verify citation.
REV-00164,POL-0169,EMP-0015,Department Supervisor,06/11/2013,Approved,
REV-00165,POL-0090,EMP-0039,Policy Analyst,02/12/2023,Approved,Please verify citation.
REV-00166,POL-0133,EMP-0050,Policy Reviewer,2013-01-16,,Formatting changes only.
REV-00167,POL-0020,EMP-0019,Department Supervisor,"Oct 29, 2005",Rejected,
REV-00168,POL-0114, EMP-0034 ,,2018-03-02,Approved,Minor edits requested.
REV-00169,POL-0090,EMP-0034,Compliance Analyst,09-Jul-2025,Approved,Looks good.
REV-00170,POL-0153,EMP-0049,Senior Analyst,2009-06-05, Approved ,Please verify citation.
REV-00171,POL-0064,EMP-0043,Policy Reviewer,2018-07-03,Rejected,
REV-00172,POL-0090,EMP-0013,Department Supervisor,,Rejected,
REV-00173,POL-0062,EMP-0041,Policy Reviewer,"Jun 09, 2015",Approved,Please verify citation.
REV-00174, POL-0125 , EMP-0020 ,Department Supervisor,30-Dec-2020, Approved ,Please verify citation.
REV-00175,POL-0091,EMP-0019,Department Supervisor,2023-08-16,,Minor edits requested.
REV-00176,POL-0245,EMP-0021,Department Supervisor,2014-10-14,Approved,Update section 3.
REV-00177,POL-0141,EMP-0048,Policy Reviewer,2013-12-02,Rejected,Minor edits requested.
REV-00178,POL-0071,EMP-0043,Policy Reviewer,2023-04-03,Approved,Please verify citation.
REV-00179,POL-0034,EMP-0047,Policy Reviewer,2022-06-21,Approved,Minor edits requested.
REV-00180,POL-0252,EMP-0012,Department Supervisor,2021-10-19,Approved,Minor edits requested.
REV-00181,POL-0025,EMP-0054,Senior Analyst,2015-05-11,Approved,
REV-00182,POL-0103,EMP-0048,Policy Reviewer,2019-03-08,Approved,Minor edits requested.
REV-00183,POL-0224,EMP-0049,Senior Analyst,2001-09-10,Approved,Update section 3.
REV-00184,POL-0154,EMP-0052,Senior Analyst,2012-05-29,,Please verify citation.
REV-00185,POL-0280,EMP-0014,Department Supervisor,,Rejected,Please verify citation.
REV-00186,POL-0058,EMP-0021,Department Supervisor,,Approved,Please verify citation.
REV-00187,POL-0107,EMP-0020,,2017-07-21,Approved,Formatting changes only.
REV-00188,POL-0269,EMP-0013,Department Supervisor,2011-05-13,Approved,Please verify citation.
REV-00189,POL-0286,EMP-0023,Department Supervisor,2005-06-05,Approved,
 REV-00190 ,POL-0176,EMP-0031,Compliance Analyst,,Approved,Update section 3.
REV-00191,POL-0293,,Policy Reviewer,2007-04-17,Approved,
REV-00192,POL-0121,EMP-0037,Policy Reviewer,"Aug 23, 2009",Approved,Please verify citation.
 REV-00193 ,POL-0255,EMP-0014,Department Supervisor,2021-08-26,Approved,Formatting changes only.
REV-00194,POL-0037,EMP-0044,Policy Analyst,2006-09-10,Approved,Looks good.
REV-00195,POL-0284,EMP-0031,Compliance Analyst,,Approved,Formatting changes only.
REV-00196,POL-0177,EMP-0044,Policy Analyst,12/15/2021,Approved,Update section 3.
REV-00197,POL-0045,EMP-0022,, 2014-07-28 ,Approved,Update section 3.
REV-00198, POL-0086 ,EMP-0032,,05/30/2024,Approved,Please verify citation.
REV-00199,POL-0085, EMP-0054 ,Senior Analyst,2016-05-22,Approved,Formatting changes only.
REV-00200,POL-0150,EMP-0050,,2012-05-10,Approved,Update section 3.
REV-00201,POL-0026,EMP-0026, Compliance Analyst ,2009-02-14,Approved,Minor edits requested.
REV-00202,POL-0258,EMP-0030,Compliance Analyst,"Jul 13, 2025",Approved,
REV-00203,POL-0198,EMP-0029,Compliance Analyst,2013-11-06,Approved,Formatting changes only.
REV-00204,POL-0071,EMP-0042,Senior Analyst,2009-10-18,Approved,Minor edits requested.
REV-00205,POL-0035,EMP-0033,Compliance Analyst,2022-01-08,Rejected,Please verify citation.
 REV-00206 ,POL-0055,EMP-0029,Compliance Analyst,2012-10-06,Approved,
 REV-00207 ,POL-0213,EMP-0035,Senior Analyst,"Nov 11, 2024",Approved,Update section 3.
REV-00208,POL-0138,EMP-0020,Department Supervisor,"Dec 24, 2015",Approved,Minor edits requested.
REV-00209,POL-0199,EMP-0029,Compliance Analyst,2002-05-21,Rejected,Formatting changes only.
REV-00210,POL-0083,EMP-0033,Compliance Analyst,2004-01-16, Approved ,Update section 3.
REV-00211,POL-0085,EMP-0041,Policy Reviewer,2012-01-01,Approved,Looks good.
REV-00212,POL-0138,EMP-0045,Policy Analyst,,Rejected,Minor edits requested.
 REV-00213 ,POL-0181,EMP-0019,Department Supervisor,2012-09-06, Approved ,
 REV-00214 ,POL-0037,EMP-0026,Compliance Analyst,"Mar 26, 2011",Approved,
REV-00215,POL-0213,EMP-0025,Compliance Analyst,2024-04-26,,Formatting changes only.
REV-00216,POL-0171,,Department Supervisor,2010-12-10,Approved,
REV-00217,POL-0226,EMP-0032,Compliance Analyst,2019-01-14,Rejected,Formatting changes only.
REV-00218,POL-0229,EMP-0017,Department Supervisor,2021-09-08, Approved ,Formatting changes only.
REV-00219,POL-0190,EMP-0011,Department Supervisor,2006-08-31,Approved,Please verify citation.
 REV-00220 ,POL-0048,EMP-0037,Policy Reviewer,2007-08-01,Approved,Formatting changes only.
REV-00221,POL-0061,EMP-0041,Policy Reviewer,2021-11-01,Approved, Formatting changes only. 
REV-00222,POL-0206,EMP-0029,Compliance Analyst,2009-06-11,Approved,Minor edits requested.
REV-00223,POL-0192,EMP-0052,Senior Analyst,2013-04-20,Approved,
REV-00224,POL-0039,EMP-0052,Senior Analyst,2004-07-05,Approved,Please verify citation.
REV-00225,POL-0094,EMP-0045,Policy Analyst,,Approved,Formatting changes only.
REV-00226,POL-0050,EMP-0022,,2002-03-04,Approved,Update section 3.
REV-00227,POL-0201,EMP-0013,Department Supervisor,2008-05-20,Approved,Update section 3.
REV-00228,POL-0026,EMP-0022,Department Supervisor,20-Sep-2022,Approved, Formatting changes only. 
REV-00229,POL-0136,EMP-0013,Department Supervisor,,Approved,  
REV-00230,POL-0123,EMP-0047,Policy Reviewer,"Nov 18, 2013",,Please verify citation.
REV-00231,POL-0157, EMP-0032 , Compliance Analyst ,2005-04-24, Rejected ,Minor edits requested.
REV-00232,POL-0226,EMP-0052,Senior Analyst,2020-11-17,Approved,Please verify citation.
REV-00233,POL-0120,EMP-0042,Senior Analyst,2024-01-07,Approved,Looks good.
REV-00234,POL-0097,EMP-0040,Senior Analyst,2023-02-12,Approved,
REV-00235,POL-0082,EMP-0018,Department Supervisor,2009-02-23,Approved,Minor edits requested.
REV-00236, POL-0106 ,EMP-0040,Senior Analyst,2007-10-15,Approved, Formatting changes only. 
REV-00237,POL-0136,EMP-0022,Department Supervisor,2012-01-15,Rejected,
REV-00238,POL-0061,EMP-0029, Compliance Analyst ,2015-08-15,Approved,Please verify citation.
REV-00239,POL-0143,EMP-0022,Department Supervisor,2009-02-28,Approved,Please verify citation.
REV-00240,POL-0042,EMP-0038,Senior Analyst, 2018-09-08 ,Approved,Please verify citation.
REV-00241,POL-0158,,,2015-03-17,Approved,Update section 3.
REV-00242,POL-0111,EMP-0022, Department Supervisor ,2004-10-10,Approved,Looks good.
REV-00243, POL-0065 ,EMP-0031,Compliance Analyst,11/30/2021,Approved,Looks good.
REV-00244,POL-0063,EMP-0027,Compliance Analyst,2000-10-20,,Update section 3.
REV-00245,POL-0254,EMP-0039,Policy Analyst,2011-01-23,,Minor edits requested.
REV-00246,POL-0142,EMP-0030,Compliance Analyst,2015-04-14,Approved,Please verify citation.
REV-00247,POL-0166,EMP-0027,Compliance Analyst,2001-01-04,Approved,Formatting changes only.
REV-00248,POL-0209, EMP-0026 ,Compliance Analyst,,Approved,
REV-00249,POL-0122,EMP-0040,Senior Analyst, 2005-10-19 ,Approved,Minor edits requested.
REV-00250,POL-0078,EMP-0036,Senior Analyst,2007-08-30,Approved,Formatting changes only.
REV-00251,POL-0045,EMP-0030,Compliance Analyst,2023-01-15,Approved,Formatting changes only.
REV-00252,POL-0028,EMP-0051,Policy Analyst,2005-10-06,Approved,Minor edits requested.
REV-00253,POL-0146,EMP-0050,Policy Reviewer,2016-12-25,Approved,Looks good.
REV-00254,POL-0223,EMP-0019,Department Supervisor,2010-04-30,Approved,Update section 3.
REV-00255,POL-0189,EMP-0040,Senior Analyst,2007-05-15,Approved,Formatting changes only.
REV-00256,POL-0131,EMP-0037,Policy Reviewer, 2017-04-04 ,Approved,Formatting changes only.
REV-00257,POL-0161,EMP-0041,Policy Reviewer,2025-02-18,Approved,Please verify citation.
REV-00258,POL-0162,EMP-0026,Compliance Analyst,2010-04-18, Rejected ,Formatting changes only.
REV-00259,POL-0096,EMP-0044,Policy Analyst,2004-03-03,Approved,Update section 3.
REV-00260,POL-0079,EMP-0034,Compliance Analyst,2024-03-10,Approved,
REV-00261,POL-0211,EMP-0014,Department Supervisor,2005-07-13,Approved,Please verify citation.
REV-00262,POL-0203,EMP-0023,Department Supervisor,2023-03-04,Approved,Please verify citation.
REV-00263,POL-0181,EMP-0020,Department Supervisor,2024-07-27, Approved ,Looks good.
REV-00264,POL-0178,EMP-0044,Policy Analyst,03/20/2015,,Update section 3.
REV-00265,POL-0037,EMP-0054,Senior Analyst,17-Sep-2005,Approved,Looks good.
REV-00266,POL-0176,EMP-0016,Department Supervisor,2022-06-04,Approved,Please verify citation.
REV-00267,POL-0016,EMP-0014,Department Supervisor,24-Jun-2020,Approved, Update section 3. 
REV-00268,POL-0178,,Policy Reviewer,2006-06-01,Approved,Update section 3.
REV-00269,POL-0276,,Policy Reviewer,2020-12-27,Rejected,
REV-00270,POL-0091,,Senior Analyst,2025-07-25,Approved,Formatting changes only.
REV-00271,POL-0032,EMP-0012,Department Supervisor,2014-04-28,Approved,Update section 3.
REV-00272,POL-0202,EMP-0011,Department Supervisor,2011-11-30,Approved,Formatting changes only.
REV-00273,POL-0145,EMP-0048,Policy Reviewer,2010-04-10,Approved,
 REV-00274 ,POL-0069,EMP-0038,Senior Analyst,2002-07-13,,
REV-00275,POL-0186,EMP-0045,Policy Analyst,2003-05-11, Approved ,
REV-00276,POL-0066,EMP-0041,Policy Reviewer,2003-08-05,Approved,
REV-00277,POL-0084,EMP-0037,Policy Reviewer,2013-05-17,Approved,Looks good.
REV-00278,POL-0088,EMP-0052,Senior Analyst,28-Jul-2006,Approved,Formatting changes only.
REV-00279,POL-0249,EMP-0034,Compliance Analyst, 2019-05-10 ,Approved,Update section 3.
 REV-00280 ,POL-0065, EMP-0035 ,Senior Analyst,2020-08-13,Approved,Update section 3.
REV-00281,POL-0134,EMP-0054,Senior Analyst,2004-02-05,Approved,Formatting changes only.
REV-00282,POL-0063,EMP-0019,Department Supervisor, 2024-09-08 ,Approved, Formatting changes only. 
REV-00283,POL-0220,EMP-0018,Department Supervisor,2016-02-05, Approved ,Looks good.
REV-00284,POL-0112,EMP-0036,Senior Analyst,,Approved,Please verify citation.
REV-00285,POL-0294,EMP-0025,Compliance Analyst,2006-03-18,Approved,
REV-00286,POL-0071,EMP-0030,Compliance Analyst,,Approved,Update section 3.
REV-00287,POL-0126,EMP-0038, Senior Analyst ,2024-12-02,Approved,Please verify citation.
REV-00288,POL-0121,EMP-0025,Compliance Analyst,"Jul 06, 2017",Approved, Looks good. 
REV-00289,POL-0135, EMP-0033 ,Compliance Analyst,2021-02-27,Rejected,Looks good.
REV-00290,POL-0122,EMP-0023,Department Supervisor,"Nov 11, 2012",Approved,Formatting changes only.
REV-00291,POL-0296,EMP-0013,Department Supervisor,2005-07-23,Approved,Formatting changes only.
REV-00292,POL-0057,EMP-0050,Policy Reviewer,2019-04-21, Approved ,
REV-00293,POL-0038,EMP-0024, Department Supervisor ,2011-04-18,Rejected,
REV-00294,POL-0164,EMP-0049,Senior Analyst,2005-01-09,Approved,
REV-00295,POL-0023,EMP-0049,Senior Analyst,2020-07-10,Approved,Formatting changes only.
REV-00296,POL-0130, EMP-0026 ,Compliance Analyst,2002-09-06,Approved,Formatting changes only.
REV-00297,POL-0278,,Senior Analyst,,Approved,Update section 3.
REV-00298,POL-0067,EMP-0045,Policy Analyst,01/04/2011,Approved,Looks good.
REV-00299,POL-0069,EMP-0019,Department Supervisor,2003-01-11,Approved,Please verify citation.
REV-00300,POL-0123,EMP-0025,Compliance Analyst,2013-06-22,Rejected,Formatting changes only.
REV-00301,POL-0234,EMP-0047,Policy Reviewer,,Approved,Please verify citation.
REV-00302,POL-0085,EMP-0026,Compliance Analyst,"Nov 18, 2014",Approved,Minor edits requested.
REV-00303,POL-0163,EMP-0053,Senior Analyst,2006-12-04,Approved,Please verify citation.
REV-00304,POL-0281,EMP-0037,Policy Reviewer,2010-05-31,Approved,Minor edits requested.
REV-00305,POL-0236,EMP-0014,Department Supervisor,2012-11-03,,Please verify citation.
REV-00306,POL-0029,EMP-0051,Policy Analyst,2008-05-09,Approved,Formatting changes only.
REV-00307,POL-0276,EMP-0046,Policy Reviewer,2019-08-30, Approved ,Update section 3.
