ReviewID,PolicyID,ReviewerEmployeeID,ReviewDate,ReviewStatus,Comments
REV-00035,POL-0162,EMP-0029,2/6/19,Approved,Please verify citation.
REV-00036,POL-0295,EMP-0011,2/7/19,Approved,Minor edits requested.
REV-00037,POL-0256,EMP-0030,2/8/19,Approved,Update section 1.
REV-00038,POL-0069,EMP-0027,2/11/19,Approved,Update section 3.
REV-00039,POL-0189,EMP-0031,2/11/19,Approved,Update section 2.
REV-00040,POL-0031,EMP-0030,2/12/19,Approved,Please verify citation.
REV-00041,POL-0100,EMP-0025,2/14/19,Approved,Please verify citation.
REV-00042,POL-0270,EMP-0033,2/19/19,Approved,Minor edits requested.
REV-00043,POL-0291,EMP-0030,2/19/19,Approved,Please verify citation.
REV-00044,POL-0284,EMP-0031,2/19/19,Approved,Please verify citation.
REV-00045,POL-0010,EMP-0033,2/19/19,Approved,Formatting changes only.
REV-00046,POL-0200,EMP-0031,2/19/19,Approved,Minor edits requested.
REV-00047,POL-0106,EMP-0011,2/21/19,Approved,Please verify citation.
REV-00048,POL-0086,EMP-0028,2/21/19,Rejected,Please verify citation.
REV-00049,POL-0035,EMP-0031,2/21/19,Approved,Update section 3.
REV-00050,POL-0057,EMP-0029,2/22/19,Approved,Update section 3.
REV-00051,POL-0033,EMP-0031,2/22/19,Approved,Formatting changes only.
REV-00052,POL-0120,EMP-0025,2/22/19,Approved,Update section 4.
REV-00053,POL-0218,EMP-0027,2/25/19,Approved,Formatting changes only.
REV-00054,POL-0108,EMP-0026,2/25/19,Approved,Formatting changes only.
REV-00055,POL-0281,EMP-0029,2/25/19,Approved,Update section 4.
REV-00056,POL-0283,EMP-0027,2/26/19,Approved,Minor edits requested.
REV-00057,POL-0016,EMP-0032,2/27/19,Approved,Update section 3.
REV-00057,POL-0016,EMP-0025,2/26/19,Rejected,Update section 3.
REV-00058,POL-0216,EMP-0027,2/27/19,Rejected,Looks good.
REV-00059,POL-0167,EMP-0033,3/1/19,Approved,Formatting changes only.
REV-00060,POL-0086,EMP-0027,3/4/19,Approved,Minor edits requested.
REV-00061,POL-0077,EMP-0034,3/4/19,Rejected,Looks good.
REV-00062,POL-0220,EMP-0028,3/5/19,Approved,Minor edits requested.
REV-00063,POL-0183,EMP-0025,3/5/19,Approved,Please verify citation.
REV-00064,POL-0033,EMP-0030,3/6/19,Approved,Update section 5.
REV-00065,POL-0167,EMP-0033,3/6/19,Approved,Minor edits requested.
REV-00066,POL-0192,EMP-0025,3/7/19,Approved,Minor edits requested.
REV-00067,POL-0251,EMP-0026,3/7/19,Approved,Minor edits requested.
REV-00068,POL-0237,EMP-0030,3/11/19,Approved,Formatting changes only.
REV-00069,POL-0221,EMP-0027,3/12/19,Approved,Minor edits requested.
REV-00070,POL-0050,EMP-0034,3/12/19,Approved,Formatting changes only.
REV-00071,POL-0184,EMP-0031,3/15/19,Rejected,Please verify citation.
REV-00072,POL-0095,EMP-0030,3/18/19,Approved,Formatting changes only.
REV-00073,POL-0130,EMP-0026,3/18/19,Approved,Update section 3.
REV-00074,POL-0155,EMP-0034,3/18/19,Approved,Minor edits requested.
REV-00075,POL-0058,EMP-0025,3/20/19,Approved,Update section 6.
REV-00076,POL-0221,EMP-0025,3/22/19,Approved,Minor edits requested.
REV-00077,POL-0191,EMP-0030,3/22/19,Approved,Please verify citation.
REV-00078,POL-0070,EMP-0034,3/25/19,Approved,Formatting changes only.
REV-00079,POL-0278,EMP-0032,3/25/19,Rejected,Update section 3.
REV-00080,POL-0184,EMP-0031,3/25/19,Rejected,Please verify citation.
REV-00081,POL-0227,EMP-0032,3/25/19,Approved,Formatting changes only.
REV-00082,POL-0271,EMP-0026,3/26/19,Approved,Formatting changes only.
REV-00083,POL-0065,EMP-0025,3/26/19,Approved,Please verify citation.
REV-00084,POL-0050,EMP-0034,3/28/19,Approved,Looks good.
REV-00085,POL-0208,EMP-0031,3/29/19,Approved,Looks good.
REV-00086,POL-0245,EMP-0031,4/1/19,Approved,Formatting changes only.
REV-00087,POL-0162,EMP-0029,4/1/19,Approved,Update section 7.
REV-00088,POL-0286,EMP-0030,4/1/19,Approved,Looks good.
REV-00089,POL-0239,EMP-0033,4/4/19,Approved,Minor edits requested.
REV-00090,POL-0194,EMP-0026,4/4/19,Approved,Please verify citation.
REV-00091,POL-0293,EMP-0027,4/4/19,Approved,Minor edits requested.
REV-00092,POL-0179,EMP-0026,4/5/19,Approved,Formatting changes only.
REV-00093,POL-0016,EMP-0030,4/9/19,Approved,Update section 8.
REV-00094,POL-0081,EMP-0025,4/11/19,Approved,Update section 3.
REV-00095,POL-0210,EMP-0032,4/11/19,Approved,Please verify citation.
REV-00096,POL-0133,EMP-0034,4/11/19,Approved,Minor edits requested.
REV-00097,POL-0258,EMP-0033,4/12/19,Approved,Please verify citation.
REV-00098,POL-0265,EMP-0027,4/12/19,Approved,Looks good.
REV-00099,POL-0281,EMP-0011,4/15/19,Approved,Update section 9.
REV-00100,POL-0014,EMP-0029,4/15/19,Approved,Formatting changes only.
REV-00101,POL-0040,EMP-0025,4/16/19,Approved,Formatting changes only.
REV-00102,POL-0268,EMP-0011,4/17/19,Approved,Minor edits requested.
REV-00103,POL-0126,EMP-0011,4/17/19,Approved,Please verify citation.
REV-00104,POL-0110,EMP-0031,4/18/19,Approved,Looks good.
REV-00105,POL-0125,EMP-0029,4/19/19,Approved,Please verify citation.
REV-00106,POL-0268,EMP-0031,4/22/19,Approved,Looks good.
REV-00107,POL-0192,EMP-0026,4/22/19,Rejected,Update section 3.
REV-00108,POL-0259,EMP-0032,4/22/19,Approved,Please verify citation.
REV-00109,POL-0268,EMP-0034,4/23/19,Approved,Please verify citation.
REV-00110,POL-0283,EMP-0032,4/24/19,Approved,Update section 1.
REV-00111,POL-0236,EMP-0031,4/25/19,Approved,Update section 3.
REV-00112,POL-0207,EMP-0031,4/29/19,Approved,Update section 3.
REV-00113,POL-0062,EMP-0031,4/30/19,Approved,Update section 1.
REV-00114,POL-0209,EMP-0030,5/1/19,Approved,Formatting changes only.
REV-00115,POL-0144,EMP-0034,5/1/19,Approved,Update section 3.
REV-00116,POL-0098,EMP-0030,5/2/19,Approved,Looks good.
REV-00117,POL-0279,EMP-0026,5/2/19,Approved,Please verify citation.
REV-00118,POL-0137,EMP-0034,5/6/19,Approved,Update section 3.
REV-00119,POL-0300,EMP-0011,5/6/19,Approved,Update section 2.
REV-00120,POL-0272,EMP-0011,5/6/19,Approved,Minor edits requested.
REV-00121,POL-0233,EMP-0033,5/6/19,Approved,Minor edits requested.
REV-00122,POL-0075,EMP-0030,5/7/19,Approved,Please verify citation.
REV-00123,POL-0244,EMP-0011,5/7/19,Approved,Minor edits requested.
REV-00124,POL-0128,EMP-0025,5/7/19,Approved,Please verify citation.
REV-00125,POL-0032,EMP-0025,5/7/19,Approved,Formatting changes only.
REV-00126,POL-0182,EMP-0027,5/7/19,Approved,Please verify citation.
REV-00127,POL-0021,EMP-0034,5/9/19,Approved,Formatting changes only.
REV-00128,POL-0069,EMP-0026,5/10/19,Approved,Please verify citation.
REV-00129,POL-0086,EMP-0029,5/13/19,Approved,Formatting changes only.
REV-00130,POL-0295,EMP-0029,5/13/19,Approved,Update section 2.
REV-00131,POL-0255,EMP-0026,5/13/19,Approved,Update section 4.
REV-00132,POL-0236,EMP-0034,5/13/19,Approved,Looks good.
REV-00133,POL-0183,EMP-0026,5/13/19,Approved,Formatting changes only.
REV-00134,POL-0276,EMP-0029,5/13/19,Approved,Formatting changes only.
REV-00135,POL-0219,EMP-0026,5/13/19,Rejected,Formatting changes only.
REV-00136,POL-0114,EMP-0027,5/16/19,Approved,Looks good.
REV-00137,POL-0134,EMP-0027,5/20/19,Approved,Update section 3.
REV-00138,POL-0236,EMP-0011,5/24/19,Rejected,Looks good.
REV-00139,POL-0079,EMP-0029,5/24/19,Rejected,Update section 3.
REV-00140,POL-0236,EMP-0028,5/28/19,Approved,Minor edits requested.
REV-00141,POL-0049,EMP-0029,5/28/19,Approved,Formatting changes only.
REV-00142,POL-0118,EMP-0032,5/30/19,Approved,Update section 3.
REV-00143,POL-0031,EMP-0032,6/3/19,Approved,Please verify citation.
REV-00144,POL-0161,EMP-0034,6/3/19,Rejected,Looks good.
REV-00145,POL-0217,EMP-0026,6/3/19,Approved,Minor edits requested.
REV-00146,POL-0130,EMP-0034,6/10/19,Approved,Looks good.
REV-00147,POL-0110,EMP-0011,6/10/19,Approved,Minor edits requested.
REV-00148,POL-0096,EMP-0025,6/10/19,Approved,Update section 3.
REV-00149,POL-0083,EMP-0034,6/11/19,Rejected,Minor edits requested.
REV-00150,POL-0079,EMP-0026,6/13/19,Approved,Looks good.
REV-00151,POL-0148,EMP-0028,6/14/19,Approved,Update section 4.
REV-00152,POL-0096,EMP-0030,6/17/19,Approved,Update section 3.
REV-00153,POL-0126,EMP-0032,6/17/19,Approved,Update section 3.
REV-00154,POL-0030,EMP-0029,6/17/19,Approved,Looks good.
REV-00155,POL-0013,EMP-0029,6/19/19,Rejected,Minor edits requested.
REV-00156,POL-0214,EMP-0026,6/20/19,Approved,Minor edits requested.
REV-00157,POL-0290,EMP-0031,6/21/19,Approved,Formatting changes only.
REV-00158,POL-0270,EMP-0027,6/21/19,Approved,Please verify citation.
REV-00159,POL-0061,EMP-0031,6/24/19,Approved,Update section 3.
REV-00160,POL-0084,EMP-0029,6/24/19,Approved,Formatting changes only.
REV-00161,POL-0225,EMP-0025,6/25/19,Approved,Minor edits requested.
REV-00162,POL-0013,EMP-0011,6/27/19,Approved,Update section 5.
REV-00163,POL-0200,EMP-0034,7/1/19,Approved,Please verify citation.
REV-00164,POL-0169,EMP-0011,7/1/19,Approved,Update section 1.
REV-00165,POL-0090,EMP-0028,7/3/19,Approved,Please verify citation.
REV-00166,POL-0133,EMP-0026,7/3/19,Rejected,Formatting changes only.
REV-00167,POL-0020,EMP-0030,7/5/19,Rejected,Update section 1.
REV-00168,POL-0114,EMP-0033,7/5/19,Approved,Minor edits requested.
REV-00169,POL-0090,EMP-0030,7/8/19,Approved,Looks good.
REV-00170,POL-0153,EMP-0030,7/8/19,Approved,Please verify citation.
REV-00171,POL-0064,EMP-0028,7/9/19,Rejected,Update section 1.
REV-00172,POL-0090,EMP-0030,7/10/19,Rejected,Update section 2.
REV-00173,POL-0062,EMP-0028,7/10/19,Approved,Please verify citation.
REV-00174,POL-0125,EMP-0027,7/15/19,Approved,Please verify citation.
REV-00175,POL-0091,EMP-0025,7/15/19,Approved,Minor edits requested.
REV-00176,POL-0245,EMP-0033,7/15/19,Approved,Update section 3.
REV-00177,POL-0141,EMP-0032,7/16/19,Rejected,Minor edits requested.
REV-00178,POL-0071,EMP-0028,7/16/19,Approved,Please verify citation.
REV-00179,POL-0034,EMP-0033,7/16/19,Approved,Minor edits requested.
REV-00180,POL-0252,EMP-0028,7/17/19,Approved,Minor edits requested.
REV-00181,POL-0025,EMP-0011,7/17/19,Approved,Update section 2.
REV-00182,POL-0103,EMP-0028,7/17/19,Approved,Minor edits requested.
REV-00183,POL-0224,EMP-0032,7/19/19,Approved,Update section 3.
REV-00184,POL-0154,EMP-0028,7/22/19,Approved,Please verify citation.
REV-00185,POL-0280,EMP-0031,7/22/19,Rejected,Please verify citation.
REV-00186,POL-0058,EMP-0030,7/23/19,Approved,Please verify citation.
REV-00187,POL-0107,EMP-0030,7/24/19,Approved,Formatting changes only.
REV-00188,POL-0269,EMP-0028,7/29/19,Approved,Please verify citation.
REV-00189,POL-0286,EMP-0026,7/29/19,Approved,Update section 4.
REV-00190,POL-0176,EMP-0011,7/29/19,Approved,Update section 3.
REV-00191,POL-0293,EMP-0025,7/29/19,Approved,Update section 4.
REV-00192,POL-0121,EMP-0028,7/29/19,Approved,Please verify citation.
REV-00193,POL-0255,EMP-0011,7/29/19,Approved,Formatting changes only.
REV-00194,POL-0037,EMP-0025,7/30/19,Approved,Looks good.
REV-00195,POL-0284,EMP-0029,8/1/19,Approved,Formatting changes only.
REV-00196,POL-0177,EMP-0028,8/2/19,Approved,Update section 3.
REV-00197,POL-0045,EMP-0033,8/5/19,Approved,Update section 3.
REV-00198,POL-0086,EMP-0033,8/5/19,Approved,Please verify citation.
REV-00199,POL-0085,EMP-0027,8/6/19,Approved,Formatting changes only.
REV-00200,POL-0150,EMP-0032,8/8/19,Approved,Update section 3.
REV-00201,POL-0026,EMP-0028,8/8/19,Approved,Minor edits requested.
REV-00202,POL-0258,EMP-0030,8/9/19,Approved,Update section 5.
REV-00203,POL-0198,EMP-0011,8/9/19,Approved,Formatting changes only.
REV-00204,POL-0071,EMP-0028,8/9/19,Approved,Minor edits requested.
REV-00205,POL-0035,EMP-0034,8/12/19,Rejected,Please verify citation.
REV-00206,POL-0055,EMP-0030,8/13/19,Approved,Update section 6.
REV-00207,POL-0213,EMP-0030,8/13/19,Approved,Update section 3.
REV-00208,POL-0138,EMP-0025,8/14/19,Approved,Minor edits requested.
REV-00209,POL-0199,EMP-0031,8/15/19,Rejected,Formatting changes only.
REV-00210,POL-0083,EMP-0032,8/15/19,Approved,Update section 3.
REV-00211,POL-0085,EMP-0032,8/16/19,Approved,Looks good.
REV-00212,POL-0138,EMP-0030,8/19/19,Rejected,Minor edits requested.
REV-00213,POL-0181,EMP-0033,8/19/19,Approved,Update section 7.
REV-00214,POL-0037,EMP-0032,8/19/19,Approved,Update section 8.
REV-00215,POL-0213,EMP-0031,8/19/19,Approved,Formatting changes only.
REV-00216,POL-0171,EMP-0025,8/19/19,Approved,Update section 9.
REV-00217,POL-0226,EMP-0034,8/19/19,Rejected,Formatting changes only.
REV-00218,POL-0229,EMP-0027,8/19/19,Approved,Formatting changes only.
REV-00219,POL-0190,EMP-0026,8/19/19,Approved,Please verify citation.
REV-00220,POL-0048,EMP-0028,8/19/19,Approved,Formatting changes only.
REV-00221,POL-0061,EMP-0028,8/19/19,Approved,Formatting changes only.
REV-00222,POL-0206,EMP-0032,8/20/19,Approved,Minor edits requested.
REV-00223,POL-0192,EMP-0027,8/20/19,Approved,Update section 1.
REV-00224,POL-0039,EMP-0030,8/21/19,Approved,Please verify citation.
REV-00225,POL-0094,EMP-0029,8/22/19,Approved,Formatting changes only.
REV-00226,POL-0050,EMP-0011,8/22/19,Approved,Update section 3.
REV-00227,POL-0201,EMP-0032,8/26/19,Approved,Update section 3.
REV-00228,POL-0026,EMP-0034,8/26/19,Approved,Formatting changes only.
REV-00229,POL-0136,EMP-0032,8/26/19,Approved,Update section 1.
REV-00230,POL-0123,EMP-0032,8/26/19,Approved,Please verify citation.
REV-00231,POL-0157,EMP-0031,8/27/19,Rejected,Minor edits requested.
REV-00232,POL-0226,EMP-0028,8/30/19,Approved,Please verify citation.
REV-00232,POL-0226,EMP-0030,8/28/19,Approved,Please verify citation.
REV-00233,POL-0120,EMP-0029,8/30/19,Approved,Looks good.
REV-00234,POL-0097,EMP-0033,8/30/19,Approved,Update section 1.
REV-00235,POL-0082,EMP-0026,9/4/19,Approved,Minor edits requested.
REV-00236,POL-0106,EMP-0026,9/5/19,Approved,Formatting changes only.
REV-00237,POL-0136,EMP-0034,9/6/19,Rejected,Update section 2.
REV-00238,POL-0061,EMP-0029,9/6/19,Approved,Please verify citation.
REV-00239,POL-0143,EMP-0030,9/9/19,Approved,Please verify citation.
REV-00240,POL-0042,EMP-0033,9/9/19,Approved,Please verify citation.
REV-00241,POL-0158,EMP-0026,9/9/19,Approved,Update section 3.
REV-00242,POL-0111,EMP-0034,9/9/19,Approved,Looks good.
REV-00243,POL-0065,EMP-0030,9/9/19,Approved,Looks good.
REV-00244,POL-0063,EMP-0029,9/9/19,Approved,Update section 3.
REV-00245,POL-0254,EMP-0025,9/9/19,Approved,Minor edits requested.
REV-00246,POL-0142,EMP-0027,9/9/19,Approved,Please verify citation.
REV-00247,POL-0166,EMP-0025,9/12/19,Approved,Formatting changes only.
REV-00248,POL-0209,EMP-0032,9/12/19,Approved,Update section 2.
REV-00249,POL-0122,EMP-0027,9/12/19,Approved,Minor edits requested.
REV-00250,POL-0078,EMP-0026,9/13/19,Approved,Formatting changes only.
REV-00251,POL-0045,EMP-0029,9/13/19,Approved,Formatting changes only.
REV-00252,POL-0028,EMP-0032,9/16/19,Approved,Minor edits requested.
REV-00253,POL-0146,EMP-0029,9/18/19,Approved,Looks good.
REV-00254,POL-0223,EMP-0030,9/20/19,Approved,Update section 3.
REV-00255,POL-0189,EMP-0027,9/20/19,Approved,Formatting changes only.
REV-00256,POL-0131,EMP-0011,9/23/19,Approved,Formatting changes only.
REV-00257,POL-0161,EMP-0028,9/23/19,Approved,Please verify citation.
REV-00258,POL-0162,EMP-0027,9/23/19,Rejected,Formatting changes only.
REV-00259,POL-0096,EMP-0029,9/24/19,Approved,Update section 3.
REV-00260,POL-0079,EMP-0026,9/27/19,Approved,Update section 4.
REV-00261,POL-0211,EMP-0032,9/30/19,Approved,Please verify citation.
REV-00262,POL-0203,EMP-0028,9/30/19,Approved,Please verify citation.
REV-00263,POL-0181,EMP-0025,9/30/19,Approved,Looks good.
REV-00264,POL-0178,EMP-0030,10/2/19,Approved,Update section 3.
REV-00265,POL-0037,EMP-0011,10/2/19,Approved,Looks good.
REV-00266,POL-0176,EMP-0032,10/7/19,Approved,Please verify citation.
REV-00267,POL-0016,EMP-0025,10/7/19,Approved,Update section 3.
REV-00268,POL-0178,EMP-0026,10/7/19,Approved,Update section 3.
REV-00269,POL-0276,EMP-0025,10/7/19,Rejected,Update section 4.
REV-00270,POL-0091,EMP-0025,10/8/19,Approved,Formatting changes only.
REV-00271,POL-0032,EMP-0029,10/9/19,Approved,Update section 3.
REV-00272,POL-0202,EMP-0031,10/9/19,Approved,Formatting changes only.
REV-00273,POL-0145,EMP-0033,10/9/19,Approved,Update section 5.
REV-00274,POL-0069,EMP-0030,10/10/19,Approved,No Changes Required.
REV-00275,POL-0186,EMP-0029,10/10/19,Approved,No Changes Required.
REV-00276,POL-0066,EMP-0032,10/15/19,Approved,No Changes Required.
REV-00276,POL-0066,EMP-0030,10/15/19,Approved,Update section 8.
REV-00277,POL-0084,EMP-0030,10/15/19,Approved,Looks good.
REV-00278,POL-0088,EMP-0033,10/16/19,Approved,Formatting changes only.
REV-00279,POL-0249,EMP-0030,10/18/19,Approved,Update section 3.
REV-00280,POL-0065,EMP-0029,10/21/19,Approved,Update section 3.
REV-00281,POL-0134,EMP-0032,10/21/19,Approved,Formatting changes only.
REV-00282,POL-0063,EMP-0032,10/22/19,Approved,Formatting changes only.
REV-00283,POL-0220,EMP-0032,10/28/19,Approved,Looks good.
REV-00284,POL-0112,EMP-0031,10/28/19,Approved,Please verify citation.
REV-00285,POL-0294,EMP-0025,10/29/19,Approved,No Changes Required.
REV-00286,POL-0071,EMP-0027,10/31/19,Approved,Update section 3.
REV-00287,POL-0126,EMP-0031,11/1/19,Approved,Please verify citation.
REV-00288,POL-0121,EMP-0027,11/4/19,Approved,Looks good.
REV-00289,POL-0135,EMP-0031,11/4/19,Rejected,Looks good.
REV-00290,POL-0122,EMP-0034,11/4/19,Approved,Formatting changes only.
REV-00291,POL-0296,EMP-0029,11/4/19,Approved,Formatting changes only.
REV-00292,POL-0057,EMP-0028,11/5/19,Approved,No Changes Required.
REV-00293,POL-0038,EMP-0031,11/12/19,Rejected,No Changes Required.
REV-00294,POL-0164,EMP-0030,11/12/19,Approved,No Changes Required.
REV-00295,POL-0023,EMP-0027,11/13/19,Approved,Formatting changes only.
REV-00296,POL-0130,EMP-0032,11/18/19,Approved,Formatting changes only.
REV-00297,POL-0278,EMP-0031,11/18/19,Approved,Update section 3.
REV-00298,POL-0067,EMP-0034,11/18/19,Approved,Looks good.
REV-00299,POL-0069,EMP-0028,11/18/19,Approved,Please verify citation.
REV-00300,POL-0123,EMP-0028,11/18/19,Rejected,Formatting changes only.
REV-00301,POL-0234,EMP-0033,11/18/19,Approved,Please verify citation.
REV-00302,POL-0085,EMP-0029,11/21/19,Approved,Minor edits requested.
REV-00303,POL-0163,EMP-0030,11/21/19,Approved,Please verify citation.
REV-00304,POL-0281,EMP-0025,11/25/19,Approved,Minor edits requested.
REV-00305,POL-0236,EMP-0031,11/25/19,Approved,Please verify citation.
REV-00306,POL-0029,EMP-0029,11/26/19,Approved,Formatting changes only.
REV-00307,POL-0276,EMP-0026,11/26/19,Approved,Update section 3.
REV-00308,POL-0156,EMP-0031,11/27/19,Approved,Formatting changes only.
REV-00309,POL-0123,EMP-0028,11/29/19,Approved,Minor edits requested.
REV-00310,POL-0212,EMP-0034,11/29/19,Approved,Looks good.
REV-00311,POL-0225,EMP-0034,11/29/19,Approved,Looks good.
REV-00312,POL-0022,EMP-0029,12/2/19,Approved,Looks good.
REV-00313,POL-0114,EMP-0025,12/2/19,Approved,Formatting changes only.
REV-00314,POL-0042,EMP-0028,12/2/19,Approved,No Changes Required.
REV-00315,POL-0220,EMP-0034,12/2/19,Approved,Please verify citation.
REV-00316,POL-0096,EMP-0029,12/3/19,Approved,Update section 3.
REV-00317,POL-0273,EMP-0034,12/4/19,Approved,Looks good.
REV-00318,POL-0076,EMP-0029,12/5/19,Approved,No Changes Required.
REV-00319,POL-0267,EMP-0025,12/6/19,Approved,Update section 2.
REV-00320,POL-0122,EMP-0031,12/9/19,Rejected,No Changes Required.
REV-00321,POL-0289,EMP-0027,12/9/19,Approved,Formatting changes only.
REV-00322,POL-0298,EMP-0025,12/9/19,Approved,Looks good.
REV-00323,POL-0053,EMP-0030,12/12/19,Approved,Update section 3.
REV-00324,POL-0019,EMP-0032,12/12/19,Approved,Minor edits requested.
REV-00325,POL-0145,EMP-0033,12/16/19,Approved,Looks good.
REV-00326,POL-0266,EMP-0026,12/16/19,Approved,Looks good.
REV-00327,POL-0067,EMP-0029,12/17/19,Approved,Looks good.
REV-00328,POL-0023,EMP-0032,12/18/19,Approved,No Changes Required.
REV-00329,POL-0271,EMP-0011,12/19/19,Approved,Please verify citation.
REV-00330,POL-0255,EMP-0029,12/20/19,Approved,Minor edits requested.
REV-00331,POL-0145,EMP-0029,12/20/19,Approved,Update section 3.
REV-00332,POL-0021,EMP-0032,12/23/19,Approved,Formatting changes only.
REV-00333,POL-0204,EMP-0030,12/23/19,Approved,Looks good.
REV-00334,POL-0163,EMP-0029,12/26/19,Approved,Update section 3.
REV-00335,POL-0294,EMP-0030,12/27/19,Approved,Looks good.
REV-00336,POL-0005,EMP-0025,12/30/19,Approved,Minor edits requested.
REV-00337,POL-0077,EMP-0031,12/30/19,Approved,Please verify citation.
REV-00338,POL-0096,EMP-0025,12/30/19,Approved,Looks good.
REV-00339,POL-0037,EMP-0030,12/30/19,Rejected,Looks good.
REV-00340,POL-0049,EMP-0025,12/30/19,Approved,Looks good.
REV-00341,POL-0188,EMP-0028,12/31/19,Approved,Formatting changes only.
REV-00342,POL-0100,EMP-0031,12/31/19,Approved,Update section 3.
REV-00343,POL-0068,EMP-0030,1/2/20,Approved,Looks good.
REV-00344,POL-0216,EMP-0030,1/2/20,Approved,Looks good.
REV-00345,POL-0082,EMP-0027,1/3/20,Approved,Looks good.
REV-00346,POL-0163,EMP-0033,1/6/20,Approved,No Changes Required.
REV-00347,POL-0185,EMP-0025,1/6/20,Approved,No Changes Required.
REV-00348,POL-0086,EMP-0032,1/6/20,Approved,Update section 3.
REV-00349,POL-0213,EMP-0027,1/7/20,Rejected,Looks good.
REV-00350,POL-0226,EMP-0026,1/7/20,Approved,No Changes Required.
REV-00351,POL-0111,EMP-0027,1/8/20,Approved,Update section 3.
REV-00352,POL-0274,EMP-0025,1/8/20,Approved,Please verify citation.
REV-00353,POL-0089,EMP-0026,1/8/20,Approved,No Changes Required.
REV-00354,POL-0210,EMP-0033,1/9/20,Approved,Please verify citation.
REV-00355,POL-0183,EMP-0029,1/9/20,Approved,No Changes Required.
REV-00356,POL-0268,EMP-0027,1/10/20,Approved,Formatting changes only.
REV-00357,POL-0034,EMP-0032,1/10/20,Rejected,Minor edits requested.
REV-00358,POL-0110,EMP-0033,1/13/20,Approved,Formatting changes only.
REV-00359,POL-0173,EMP-0028,1/13/20,Approved,No Changes Required.
REV-00360,POL-0018,EMP-0011,1/14/20,Approved,No Changes Required.
REV-00361,POL-0031,EMP-0027,1/16/20,Approved,Please verify citation.
REV-00362,POL-0107,EMP-0031,1/16/20,Approved,Minor edits requested.
REV-00363,POL-0251,EMP-0027,1/21/20,Approved,No Changes Required.
REV-00364,POL-0158,EMP-0025,1/21/20,Approved,Update section 3.
REV-00365,POL-0059,EMP-0029,1/27/20,Approved,Minor edits requested.
REV-00366,POL-0193,EMP-0033,1/27/20,Approved,Formatting changes only.
REV-00367,POL-0049,EMP-0032,1/29/20,Approved,Update section 3.
REV-00368,POL-0025,EMP-0027,2/5/20,Approved,Please verify citation.
REV-00368,POL-0025,EMP-0025,2/3/20,Approved,Please verify citation.
REV-00369,POL-0138,EMP-0026,2/5/20,Approved,Formatting changes only.
REV-00370,POL-0153,EMP-0034,2/6/20,Approved,No Changes Required.
REV-00371,POL-0097,EMP-0033,2/7/20,Approved,Formatting changes only.
REV-00372,POL-0026,EMP-0026,2/10/20,Approved,No Changes Required.
REV-00373,POL-0252,EMP-0031,2/10/20,Rejected,Looks good.
